Agg_Col|TFIDF_SCORE
03/05/2019|37.53543350196283
03/06/2011|13.904885756227582
03/06/2013|23.96943400416439
03/06/2015|15.774385107956773
03/06/2016|111.38298408291722
03/06/2019|54.890157498331696
03/07/2012|29.286741557457336
03/07/2013|15.71888169121677
03/07/2015|28.005283938247157
03/07/2017|70.47105236956114
03/07/2018|55.73995623578805
03/07/2019|24.246010497898894
03/08/2011|8.452777238024002
03/08/2012|8.837653526659267
03/08/2015|17.903491353793044
03/08/2016|42.06234650973685
03/08/2017|37.95425645865479
03/08/2018|45.65060577076704
03/09/2010|5.636366932008547
03/09/2012|21.901589239620264
03/09/2013|31.57131589490446
03/09/2014|12.932398007915674
03/09/2015|8.613810901910863
03/09/2018|18.68280784938818
03/09/2019|30.273779298717834
03/10/2011|41.61467533617206
