|DocCount|IDF
ex|10|7.441203080784407
group|150|4.733152879682198
speed|5|8.134350261344352
protecting|1|9.743788173778453
england|2|9.050640993218508
site|10|7.441203080784407
cost|55|5.736454988545982
police|1|9.743788173778453
13m|2|9.050640993218508
exxon|60|5.649443611556352
begin|32|6.278052270978726
court|14|7.1047308441631944
fight|25|6.524912348910252
jack|1|9.743788173778453
cleaner|4|8.357493812658563
spared|2|9.050640993218508
chevron|67|5.539095554387487
another|56|5.718436483043304
three|56|5.718436483043304
month|298|4.046694687273049
halliburton|16|6.971199451538672
cutting|20|6.748055900224462
n|10|7.441203080784407
america|30|6.342590792116297
boom|131|4.868590850577301
cool|13|7.178838816316916
rate|65|5.569400903882816
until|20|6.748055900224462
end|144|4.773974874202453
euronav|3|8.645175885110344
creditor|2|9.050640993218508
politician|3|8.645175885110344
spar|1|9.743788173778453
jewel|1|9.743788173778453
powerless|2|9.050640993218508
dictate|3|8.645175885110344
schlumberger|21|6.69926573605503
sinking|6|7.952028704550398
feeling|1|9.743788173778453
swing|35|6.188440112289039
dollar127bn|1|9.743788173778453
pre|16|6.971199451538672
charge|12|7.2588815239904525
survivor|4|8.357493812658563
navigates|2|9.050640993218508
choppy|20|6.748055900224462
water|21|6.69926573605503
lure|2|9.050640993218508
dealmakers|1|9.743788173778453
kingdom|3|8.645175885110344
service|45|5.937125684008134
provider|3|8.645175885110344
transformation|4|8.357493812658563
delay|14|7.1047308441631944
planned|9|7.546563596442233
gunvor|14|7.1047308441631944
almost|18|6.853416415882289
dollar100m|4|8.357493812658563
settle|26|6.485691635756971
africa|32|6.278052270978726
corruption|17|6.910574829722237
case|24|6.565734343430507
clock|9|7.546563596442233
tick|20|6.748055900224462
capture|4|8.357493812658563
trump|190|4.496764101617967
administration|4|8.357493812658563
biofuels|4|8.357493812658563
anger|3|8.645175885110344
farmer|2|9.050640993218508
sovereign|10|7.441203080784407
sell|904|2.9369588133862767
stake|66|5.554133431752027
medgaz|1|9.743788173778453
european|43|5.9825880580848905
postpones|2|9.050640993218508
decision|38|6.106202014052068
elizabeth|1|9.743788173778453
warren|2|9.050640993218508
frac|4|8.357493812658563
attack|79|5.374340321311432
expected|122|4.9397671290451965
sign|62|5.616653788733362
this|185|4.523432348700128
week|389|3.780208830160007
neste|1|9.743788173778453
renewable|7|7.79787802472314
fat|25|6.524912348910252
flyer|2|9.050640993218508
37|1|9.743788173778453
india|131|4.868590850577301
adani|2|9.050640993218508
distribution|2|9.050640993218508
business|51|5.811962541054127
neptune|6|7.952028704550398
strike|68|5.524280468602346
dollar250m|1|9.743788173778453
edison|3|8.645175885110344
asset|75|5.426300060242142
ha|139|4.809314240647761
learnt|3|8.645175885110344
lesson|6|7.952028704550398
heed|2|9.050640993218508
unsustainable|4|8.357493812658563
trend|27|6.447951307774124
hardliner|2|9.050640993218508
anti|7|7.79787802472314
graft|3|8.645175885110344
drive|35|6.188440112289039
mask|2|9.050640993218508
wider|3|8.645175885110344
goal|8|7.664346632098617
at|474|3.582580852083377
alternative|10|7.441203080784407
dollar|292|4.0670343715101716
sale|75|5.426300060242142
king|10|7.441203080784407
hold|124|4.923506608173416
houthis|1|9.743788173778453
break|59|5.666250729872734
yemen|18|6.853416415882289
deadlock|1|9.743788173778453
missile|6|7.952028704550398
dollar3bn|3|8.645175885110344
impairment|2|9.050640993218508
no|79|5.374340321311432
brexit|53|5.773496260226331
supertanker|4|8.357493812658563
capacity|27|6.447951307774124
squeeze|15|7.035737972676243
loses|23|6.608293957849304
dollar2bn|8|7.664346632098617
infrastructure|12|7.2588815239904525
top|94|5.2004933915084495
trader|137|4.823807247950328
bet|204|4.425668179934236
further|106|5.0803490796663855
crude|5091|1.2085586198761171
lying|4|8.357493812658563
about|101|5.128667656937194
delivery|6|7.952028704550398
syria|66|5.554133431752027
targeting|2|9.050640993218508
could|278|4.116167060087816
hurt|6|7.952028704550398
should|51|5.811962541054127
rebel|9|7.546563596442233
against|55|5.736454988545982
publish|2|9.050640993218508
voting|1|9.743788173778453
fails|34|6.217427649162292
cheer|8|7.664346632098617
biofuel|5|8.134350261344352
enduring|2|9.050640993218508
led|44|5.959598539860192
class|2|9.050640993218508
eni|36|6.160269235322343
cannot|7|7.79787802472314
ease|67|5.539095554387487
crisis|84|5.31297137493514
alone|5|8.134350261344352
bps|13|7.178838816316916
looney|1|9.743788173778453
into|107|5.070959339316547
chinese|80|5.361761539104571
flagship|3|8.645175885110344
field|74|5.439723080574283
placates|1|9.743788173778453
greta|1|9.743788173778453
expectation|39|6.080226527648807
bob|4|8.357493812658563
dudley|6|7.952028704550398
linde|1|9.743788173778453
invests|5|8.134350261344352
hydrogen|5|8.134350261344352
machine|3|8.645175885110344
manufacturer|1|9.743788173778453
restored|2|9.050640993218508
level|107|5.070959339316547
mexico|119|4.964664680666924
lpez|7|7.79787802472314
obrador|6|7.952028704550398
ofgem|2|9.050640993218508
appoints|8|7.664346632098617
rsc|1|9.743788173778453
brings|6|7.952028704550398
curtain|3|8.645175885110344
sponsorship|1|9.743788173778453
going|25|6.524912348910252
electric|25|6.524912348910252
threat|67|5.539095554387487
war|107|5.070959339316547
impeachment|3|8.645175885110344
housing|9|7.546563596442233
heat|10|7.441203080784407
wework|1|9.743788173778453
freeze|78|5.387079347088862
dollar75bn|1|9.743788173778453
dividend|34|6.217427649162292
push|92|5.221999596729413
fitch|10|7.441203080784407
rating|19|6.799349194612013
facility|14|7.1047308441631944
american|20|6.748055900224462
small|27|6.447951307774124
cap|77|5.399982751924769
london|17|6.910574829722237
ftse|6|7.952028704550398
russell|1|9.743788173778453
scrap|6|7.952028704550398
non|43|5.9825880580848905
label|1|9.743788173778453
have|62|5.616653788733362
dramatic|6|7.952028704550398
impact|34|6.217427649162292
mohammed|1|9.743788173778453
bin|5|8.134350261344352
salman|1|9.743788173778453
skyrocketing|1|9.743788173778453
ukraine|18|6.853416415882289
feel|11|7.345892900980083
spiking|2|9.050640993218508
spectre|4|8.357493812658563
black|19|6.799349194612013
swan|2|9.050640993218508
seized|6|7.952028704550398
british|11|7.345892900980083
leaf|7|7.79787802472314
dubai|4|8.357493812658563
royal|10|7.441203080784407
dutch|11|7.345892900980083
search|7|7.79787802472314
purpose|2|9.050640993218508
stranded|4|8.357493812658563
worker|16|6.971199451538672
being|10|7.441203080784407
casualty|1|9.743788173778453
environmental|8|7.664346632098617
granted|3|8.645175885110344
execution|1|9.743788173778453
dollar96bn|2|9.050640993218508
battle|34|6.217427649162292
var|1|9.743788173778453
dollar45bn|2|9.050640993218508
overturn|2|9.050640993218508
blacklist|1|9.743788173778453
maximum|1|9.743788173778453
campaign|3|8.645175885110344
backfired|2|9.050640993218508
bounce|70|5.495292931729094
mitsubishi|2|9.050640993218508
denies|3|8.645175885110344
unauthorised|1|9.743788173778453
french|8|7.664346632098617
accelerate|5|8.134350261344352
away|31|6.309800969293307
release|20|6.748055900224462
strait|10|7.441203080784407
hormuz|8|7.664346632098617
closed|2|9.050640993218508
door|4|8.357493812658563
vietnam|3|8.645175885110344
power|42|6.006118555495084
crunch|19|6.799349194612013
economy|86|5.289440877524945
budget|24|6.565734343430507
missed|2|9.050640993218508
vitol|39|6.080226527648807
emerges|6|7.952028704550398
winner|24|6.565734343430507
volatile|49|5.851967875667826
stress|8|7.664346632098617
repo|1|9.743788173778453
abate|1|9.743788173778453
family|5|8.134350261344352
complicates|1|9.743788173778453
changed|23|6.608293957849304
calculation|1|9.743788173778453
security|31|6.309800969293307
wheeze|1|9.743788173778453
brent|439|3.659288760703282
continues|57|5.700736905943903
rocky|2|9.050640993218508
ride|6|7.952028704550398
bully|1|9.743788173778453
wealthy|3|8.645175885110344
pump|27|6.447951307774124
defuse|1|9.743788173778453
middle|90|5.243978503448188
east|106|5.0803490796663855
tension|117|4.981614238980697
convince|1|9.743788173778453
still|98|5.158820695107881
good|43|5.9825880580848905
reassure|2|9.050640993218508
asia|546|3.441169198033548
diversify|7|7.79787802472314
form|6|7.952028704550398
trading|171|4.602124617275793
venture|19|6.799349194612013
mozambique|8|7.664346632098617
near|234|4.288467058420752
restoration|1|9.743788173778453
awaiting|3|8.645175885110344
hawkish|4|8.357493812658563
airline|2|9.050640993218508
hedge|46|5.915146777289358
hopping|1|9.743788173778453
when|27|6.447951307774124
donald|11|7.345892900980083
discovered|4|8.357493812658563
real|22|6.652745720420137
lookout|1|9.743788173778453
explores|3|8.645175885110344
increasing|9|7.546563596442233
tech|15|7.035737972676243
shine|9|7.546563596442233
neighbourhood|1|9.743788173778453
ill|4|8.357493812658563
favoured|1|9.743788173778453
moment|8|7.664346632098617
global|411|3.7251949592822187
stock|454|3.625690975737105
haven|12|7.2588815239904525
rally|318|3.9817367909982764
fluid|1|9.743788173778453
awakening|3|8.645175885110344
spike|46|5.915146777289358
mount|24|6.565734343430507
disruption|31|6.309800969293307
dilemma|17|6.910574829722237
embarked|1|9.743788173778453
dangerous|5|8.134350261344352
provocation|1|9.743788173778453
expose|6|7.952028704550398
achilles|3|8.645175885110344
heel|4|8.357493812658563
escalation|3|8.645175885110344
ricochet|1|9.743788173778453
across|6|7.952028704550398
live|42|6.006118555495084
de|1|9.743788173778453
escalate|4|8.357493812658563
lira|2|9.050640993218508
drone|9|7.546563596442233
prone|1|9.743788173778453
forget|8|7.664346632098617
20|28|6.411583663603249
move|114|5.007589725383958
implies|1|9.743788173778453
fed|139|4.809314240647761
wrestle|3|8.645175885110344
uncertainty|32|6.278052270978726
ma|8|7.664346632098617
gm|1|9.743788173778453
currency|28|6.411583663603249
without|18|6.853416415882289
full|13|7.178838816316916
prepared|5|8.134350261344352
handle|4|8.357493812658563
watchdog|1|9.743788173778453
imperil|1|9.743788173778453
image|2|9.050640993218508
reliable|2|9.050640993218508
supplier|9|7.546563596442233
uganda|6|7.952028704550398
ambition|9|7.546563596442233
delayed|9|7.546563596442233
stall|14|7.1047308441631944
federal|7|7.79787802472314
follow|12|7.2588815239904525
ecbs|1|9.743788173778453
lead|96|5.179439982310617
blame|16|6.971199451538672
protester|5|8.134350261344352
block|27|6.447951307774124
busy|2|9.050640993218508
houston|4|8.357493812658563
port|16|6.971199451538672
surplus|10|7.441203080784407
raid|3|8.645175885110344
piggy|1|9.743788173778453
prop|5|8.134350261344352
texas|49|5.851967875667826
tycoon|2|9.050640993218508
t|117|4.981614238980697
boone|3|8.645175885110344
pickens|4|8.357493812658563
dy|2|9.050640993218508
91|3|8.645175885110344
downgrade|19|6.799349194612013
table|7|7.79787802472314
sharply|70|5.495292931729094
discussed|2|9.050640993218508
easing|18|6.853416415882289
inject|1|9.743788173778453
dollar5bn|9|7.546563596442233
shake|19|6.799349194612013
